LAT,LONG,INFO
39.9575086,-75.1912327,3400 Lancaster
39.9581414,-75.1906749,3400 Race
39.9581968,-75.1908084,34th and Race
39.9587070,-75.1907970,34th and Race
39.9587157,-75.1910446,34th Powelton
39.9600081,-75.1909495,34th Powelton
39.9601574,-75.1907457,33rd Powelton
39.9604473,-75.1893559,Natrona and Powelton
39.9603970,-75.1886083,Natrona and Winter
39.9600063,-75.1883746,31st and Powelton
39.9606047,-75.1878331,32nd and Powelton
39.9605058,-75.1877681,3200 Powelton
39.9593705,-75.1875569,32nd Race
39.9587835,-75.1876737,32nd Arch
39.9569337,-75.1885369,32ns Cuthbert
39.9568155,-75.1884953,73 Cuthbert St
39.9559202,-75.1879453,32nd Market
39.9554894,-75.1883345,32nd Market
39.9555676,-75.1896001,33rd Market
39.9556890,-75.1888925,33rd Ludlow
39.9551937,-75.1895546,33rd Chestnut
39.9541266,-75.1893663,33rd Chestnut
39.9540329,-75.1891798,32nd Chestnut
39.9537018,-75.1876311,32nd Chestnut
39.9537198,-75.1869309,3180 Chestnut
39.9545850,-75.1871235,32nd Market
39.9553980,-75.1897576,33rd Market
39.9556359,-75.1899562,34th Market
39.9561730,-75.1892938,33rn and meh?
39.9568206,-75.1891396,33rn and Arch
39.9581338,-75.1891031,33rd and Cherry
39.9581442,-75.1891167,33rd and Race
